dia,open,last,close,symbol,exchange,weekday,high_max,low_min,volume_sum,spline,date
2020-06-01 00:00:00+00:00,249.41,247.29,248.48,HD,IEXG,Monday,249.78,245.87,3476747.0,0,2020-06-01
2020-06-02 00:00:00+00:00,248.485,250.125,247.29,HD,IEXG,Tuesday,251.24,247.2,2200452.0,0,2020-06-02
2020-06-03 00:00:00+00:00,248.74010161708438,249.90699505530486,249.29888325630168,HD,IEXG,Wednesday,251.7646940119989,247.35262693107416,7498216.578042093,1,2020-06-03
2020-06-04 00:00:00+00:00,249.77,248.95,251.0,HD,IEXG,Thursday,252.173,247.47,18768184.0,0,2020-06-04
2020-06-05 00:00:00+00:00,252.34,254.9,248.95,HD,IEXG,Friday,255.85,250.38,26564499.0,0,2020-06-05
2020-06-08 00:00:00+00:00,252.49,256.77,254.9,HD,IEXG,Monday,256.81,252.26,9433018.0,0,2020-06-08
2020-06-09 00:00:00+00:00,255.33,256.76,256.77,HD,IEXG,Tuesday,258.29,253.86,10693645.0,0,2020-06-09
2020-06-10 00:00:00+00:00,248.0281352725668,252.2886236141281,256.2610297846841,HD,IEXG,Wednesday,252.7965878842741,248.299053637292,21949233.33259729,1,2020-06-10
2020-06-11 00:00:00+00:00,239.54624347342303,244.8253579989216,251.22024797997489,HD,IEXG,Thursday,245.42177631899045,240.1908918482299,32255854.99877455,1,2020-06-11
2020-06-12 00:00:00+00:00,234.30777934628682,239.59418047382286,245.3291673666715,HD,IEXG,Friday,240.41638700505558,233.9697171083114,34996089.30362158,1,2020-06-12
2020-06-15 00:00:00+00:00,237.62,241.36,242.45,HD,IEXG,Monday,242.2199,234.31,23552516.0,0,2020-06-15
2020-06-16 00:00:00+00:00,249.4,249.95,241.36,HD,IEXG,Tuesday,251.65,242.87,5366480.0,0,2020-06-16
2020-06-17 00:00:00+00:00,252.77,250.85,249.95,HD,IEXG,Wednesday,254.62,250.08,13375757.0,0,2020-06-17
2020-06-18 00:00:00+00:00,249.36,249.21,250.85,HD,IEXG,Thursday,251.75,247.13,9617178.0,0,2020-06-18
2020-06-19 00:00:00+00:00,253.1,246.65,249.21,HD,IEXG,Friday,254.3,246.38,30633200.0,0,2020-06-19
2020-06-22 00:00:00+00:00,245.7,249.16,246.65,HD,IEXG,Monday,250.06,245.51,13640794.0,0,2020-06-22
2020-06-23 00:00:00+00:00,253.0,250.31,249.16,HD,IEXG,Tuesday,253.44,250.13,12679127.0,0,2020-06-23
2020-06-24 00:00:00+00:00,247.81,246.13,250.31,HD,IEXG,Wednesday,250.2873,242.73,11303610.0,0,2020-06-24
2020-06-25 00:00:00+00:00,244.8,245.38,246.13,HD,IEXG,Thursday,246.35,242.2,19307470.0,0,2020-06-25
2020-06-26 00:00:00+00:00,245.35,241.01,245.38,HD,IEXG,Friday,246.1,240.25,14632400.0,0,2020-06-26
2020-06-29 00:00:00+00:00,242.66,246.12,241.01,HD,IEXG,Monday,246.5,240.3401,13916753.0,0,2020-06-29
2020-06-30 00:00:00+00:00,247.0,250.51,246.12,HD,IEXG,Tuesday,251.65,246.09,10860289.0,0,2020-06-30
2020-07-01 00:00:00+00:00,249.65,248.15,250.51,HD,IEXG,Wednesday,250.3295,246.93,24150778.0,0,2020-07-01
2020-07-02 00:00:00+00:00,251.94,248.5,248.15,HD,IEXG,Thursday,252.3,247.92,17599913.0,0,2020-07-02
2020-07-03 00:00:00+00:00,251.32541700237562,248.08053093439582,248.82709210742297,HD,IEXG,Friday,251.61118477660423,247.8876762149109,11962203.691319512,1,2020-07-03
2020-07-06 00:00:00+00:00,250.27,249.55,248.5,HD,IEXG,Monday,251.5,247.04,11565406.0,0,2020-07-06
2020-07-07 00:00:00+00:00,247.37,247.35,249.55,HD,IEXG,Tuesday,250.83,247.07,10746846.0,0,2020-07-07
2020-07-08 00:00:00+00:00,247.87,249.17,247.35,HD,IEXG,Wednesday,249.78,246.22,8483834.0,0,2020-07-08
2020-07-09 00:00:00+00:00,249.66,247.96,249.17,HD,IEXG,Thursday,250.51,246.35,15346940.0,0,2020-07-09
2020-07-10 00:00:00+00:00,248.29,250.11,247.96,HD,IEXG,Friday,250.33,246.64,15581669.0,0,2020-07-10
2020-07-13 00:00:00+00:00,251.92,249.62,250.11,HD,IEXG,Monday,257.86,249.09,20404607.0,0,2020-07-13
2020-07-14 00:00:00+00:00,249.0,257.79,249.62,HD,IEXG,Tuesday,258.18,248.46,21585239.0,0,2020-07-14
2020-07-15 00:00:00+00:00,260.14,257.8,257.79,HD,IEXG,Wednesday,261.29,255.15,18286888.0,0,2020-07-15
2020-07-16 00:00:00+00:00,256.76,258.08,257.8,HD,IEXG,Thursday,260.5,256.0,7636502.0,0,2020-07-16
2020-07-17 00:00:00+00:00,260.03,260.38,258.08,HD,IEXG,Friday,260.65,257.72,12195086.0,0,2020-07-17
2020-07-20 00:00:00+00:00,259.04,260.17,260.38,HD,IEXG,Monday,261.2,258.02,8553663.0,0,2020-07-20
2020-07-21 00:00:00+00:00,261.62,262.42,260.17,HD,IEXG,Tuesday,263.87,260.72,10344043.0,0,2020-07-21
2020-07-22 00:00:00+00:00,262.59,265.17,262.42,HD,IEXG,Wednesday,265.59,262.0,12398646.0,0,2020-07-22
2020-07-23 00:00:00+00:00,267.8,263.81,265.17,HD,IEXG,Thursday,267.8,261.8,20720488.0,0,2020-07-23
2020-07-24 00:00:00+00:00,265.04,265.31,263.81,HD,IEXG,Friday,266.89,262.99,12443783.0,0,2020-07-24
2020-07-27 00:00:00+00:00,265.09,267.42,265.31,HD,IEXG,Monday,268.68,265.09,12024932.0,0,2020-07-27
2020-07-28 00:00:00+00:00,268.56,265.28,267.42,HD,IEXG,Tuesday,269.07,264.6694,14304501.0,0,2020-07-28
2020-07-29 00:00:00+00:00,264.8,264.66,265.28,HD,IEXG,Wednesday,267.105,264.17,13749499.0,0,2020-07-29
2020-07-30 00:00:00+00:00,263.34,266.31,264.66,HD,IEXG,Thursday,267.345,261.55,15274644.0,0,2020-07-30
2020-07-31 00:00:00+00:00,265.0,265.49,266.31,HD,IEXG,Friday,267.17,260.61,13625858.0,0,2020-07-31
2020-08-03 00:00:00+00:00,266.73,266.18,265.49,HD,IEXG,Monday,268.58,265.67,9808164.0,0,2020-08-03
2020-08-04 00:00:00+00:00,266.63,267.87,266.18,HD,IEXG,Tuesday,267.89,263.84,8680659.0,0,2020-08-04
2020-08-05 00:00:00+00:00,268.39,267.48,267.87,HD,IEXG,Wednesday,268.39,265.89,11536783.0,0,2020-08-05
2020-08-06 00:00:00+00:00,266.6,269.37,267.48,HD,IEXG,Thursday,270.44,266.53,8969080.0,0,2020-08-06
2020-08-07 00:00:00+00:00,270.61,271.64,269.37,HD,IEXG,Friday,274.9199,269.81,24339141.0,0,2020-08-07
2020-08-10 00:00:00+00:00,272.42,274.73,271.64,HD,IEXG,Monday,275.0,271.795,6976590.0,0,2020-08-10
2020-08-11 00:00:00+00:00,277.69,274.92,274.73,HD,IEXG,Tuesday,279.37,274.41,15944316.0,0,2020-08-11
2020-08-12 00:00:00+00:00,279.75,281.58,274.92,HD,IEXG,Wednesday,282.9673,276.96,13248977.0,0,2020-08-12
2020-08-13 00:00:00+00:00,281.16,281.66,281.58,HD,IEXG,Thursday,282.655,279.74,7242274.0,0,2020-08-13
2020-08-14 00:00:00+00:00,281.14,280.55,281.66,HD,IEXG,Friday,282.0,279.19,10160373.0,0,2020-08-14
2020-08-17 00:00:00+00:00,284.4,288.24,280.55,HD,IEXG,Monday,289.2172,283.57,19674336.0,0,2020-08-17
2020-08-18 00:00:00+00:00,288.9,285.0,288.24,HD,IEXG,Tuesday,290.58,283.04,31461591.0,0,2020-08-18
2020-08-19 00:00:00+00:00,287.46,282.86,285.0,HD,IEXG,Wednesday,287.97,281.93,24381633.0,0,2020-08-19
2020-08-20 00:00:00+00:00,280.535,280.68,282.86,HD,IEXG,Thursday,281.91,279.4351,16636397.0,0,2020-08-20
2020-08-21 00:00:00+00:00,279.97,283.23,280.68,HD,IEXG,Friday,283.55,278.42,57880124.0,0,2020-08-21
2020-08-24 00:00:00+00:00,284.99,286.75,283.23,HD,IEXG,Monday,286.85,281.9223,20066657.0,0,2020-08-24
2020-08-25 00:00:00+00:00,287.27,286.13,286.75,HD,IEXG,Tuesday,287.48,283.885,10026090.0,0,2020-08-25
2020-08-26 00:00:00+00:00,287.73,291.93,286.13,HD,IEXG,Wednesday,292.12,286.275,16083620.0,0,2020-08-26
2020-08-27 00:00:00+00:00,292.22,288.63,291.93,HD,IEXG,Thursday,292.95,286.56,10508489.0,0,2020-08-27
2020-08-28 00:00:00+00:00,288.31,286.29,288.63,HD,IEXG,Friday,288.83,284.77,8275794.0,0,2020-08-28
2020-08-31 00:00:00+00:00,285.0,285.04,286.29,HD,IEXG,Monday,286.69,282.87,10198916.0,0,2020-08-31
2020-09-01 00:00:00+00:00,284.03,285.94,285.04,HD,IEXG,Tuesday,286.68,283.5,10945960.0,0,2020-09-01
2020-09-02 00:00:00+00:00,284.85,287.2,284.45434014548,HD,IEXG,Wednesday,288.04,283.6,9809035.0,0,2020-09-02
2020-09-03 00:00:00+00:00,287.3,274.63,287.2,HD,IEXG,Thursday,287.7,272.17,21302663.0,0,2020-09-03
2020-09-04 00:00:00+00:00,275.55,269.66,274.63,HD,IEXG,Friday,276.77,264.6727,17223161.0,0,2020-09-04
2020-09-07 00:00:00+00:00,267.8896379012507,266.73432355981714,268.99502576824995,HD,IEXG,Monday,271.1912819099259,260.3842077698037,14480650.556653654,1,2020-09-07
2020-09-08 00:00:00+00:00,267.11,269.26,269.66,HD,IEXG,Tuesday,271.04,262.81,21151177.0,0,2020-09-08
2020-09-09 00:00:00+00:00,272.46,277.04,269.26,HD,IEXG,Wednesday,279.74,271.75,27557742.0,0,2020-09-09
2020-09-10 00:00:00+00:00,278.01,272.7,277.04,HD,IEXG,Thursday,280.98,271.17,7126135.0,0,2020-09-10
2020-09-11 00:00:00+00:00,273.98,276.33,272.7,HD,IEXG,Friday,277.98,273.46,8886089.0,0,2020-09-11
2020-09-14 00:00:00+00:00,278.55,280.65,276.33,HD,IEXG,Monday,282.46,278.015,17520032.0,0,2020-09-14
2020-09-15 00:00:00+00:00,283.72,285.65,280.65,HD,IEXG,Tuesday,286.67,282.45,27668326.0,0,2020-09-15
2020-09-16 00:00:00+00:00,285.61,281.63,285.58,HD,IEXG,Wednesday,286.58,280.6801,27630302.0,0,2020-09-16
2020-09-17 00:00:00+00:00,277.91,279.96,281.63,HD,IEXG,Thursday,282.72,276.96,14510465.0,0,2020-09-17
2020-09-18 00:00:00+00:00,278.41,275.19,279.96,HD,IEXG,Friday,279.835,270.81,13948641.0,0,2020-09-18
2020-09-21 00:00:00+00:00,271.87,272.35,275.19,HD,IEXG,Monday,272.8999,266.53,14840816.0,0,2020-09-21
2020-09-22 00:00:00+00:00,271.68,273.31,272.35,HD,IEXG,Tuesday,273.52,270.63,22295012.0,0,2020-09-22
2020-09-23 00:00:00+00:00,275.42,266.55,273.31,HD,IEXG,Wednesday,276.62,264.685,32325625.0,0,2020-09-23
2020-09-24 00:00:00+00:00,265.71,265.7,266.55,HD,IEXG,Thursday,269.7,263.8801,22800892.0,0,2020-09-24
2020-09-25 00:00:00+00:00,264.19,268.55,265.7,HD,IEXG,Friday,270.15,263.9194,11784958.0,0,2020-09-25
2020-09-28 00:00:00+00:00,271.93,272.33,268.55,HD,IEXG,Monday,274.22,270.3,10867173.0,0,2020-09-28
2020-09-29 00:00:00+00:00,273.4,272.11,272.33,HD,IEXG,Tuesday,273.8415,271.1138,14453999.0,0,2020-09-29
2020-09-30 00:00:00+00:00,273.48,277.71,272.11,HD,IEXG,Wednesday,279.915,272.52,15267008.0,0,2020-09-30
2020-10-01 00:00:00+00:00,279.44,277.62,277.71,HD,IEXG,Thursday,280.0,275.85,22405930.0,0,2020-10-01
2020-10-02 00:00:00+00:00,274.94,279.31,277.62,HD,IEXG,Friday,281.09,274.1032,13943940.0,0,2020-10-02
2020-10-05 00:00:00+00:00,280.92,282.1,279.31,HD,IEXG,Monday,282.42,279.68,17759365.0,0,2020-10-05
2020-10-06 00:00:00+00:00,282.5,276.47,282.1,HD,IEXG,Tuesday,283.0,275.77,21261100.0,0,2020-10-06
2020-10-07 00:00:00+00:00,280.85,282.79,276.47,HD,IEXG,Wednesday,284.0,279.99,23964622.0,0,2020-10-07
2020-10-08 00:00:00+00:00,283.84,284.52,282.79,HD,IEXG,Thursday,284.95,281.1707,25235149.0,0,2020-10-08
2020-10-09 00:00:00+00:00,285.47,285.92,284.52,HD,IEXG,Friday,287.28,284.075,18324549.0,0,2020-10-09
2020-10-12 00:00:00+00:00,287.39,286.91,285.92,HD,IEXG,Monday,288.33,286.06,23555026.0,0,2020-10-12
2020-10-13 00:00:00+00:00,285.7,290.36,286.91,HD,IEXG,Tuesday,290.77,285.7,22511905.0,0,2020-10-13
2020-10-14 00:00:00+00:00,289.51,287.09,290.36,HD,IEXG,Wednesday,290.3,285.15,16657636.0,0,2020-10-14
2020-10-15 00:00:00+00:00,284.12,287.54,287.09,HD,IEXG,Thursday,290.25,283.12,32000783.0,0,2020-10-15
2020-10-16 00:00:00+00:00,288.51,287.335,287.54,HD,IEXG,Friday,292.625,287.26,19668155.0,0,2020-10-16
2020-10-19 00:00:00+00:00,283.74,285.39,283.74,HD,IEXG,Monday,290.11,283.38,0.0,0,2020-10-19
2020-10-20 00:00:00+00:00,285.925,287.025,285.925,HD,IEXG,Tuesday,289.765,284.01,0.0,0,2020-10-20
2020-10-21 00:00:00+00:00,285.39,284.51,286.04,HD,IEXG,Wednesday,288.0187,283.28,2304473.0,0,2020-10-21
2020-10-22 00:00:00+00:00,283.93,281.16,284.51,HD,IEXG,Thursday,285.68,280.65,19082328.0,0,2020-10-22
2020-10-23 00:00:00+00:00,282.38,283.0,281.16,HD,IEXG,Friday,283.19,279.55,12027049.0,0,2020-10-23
2020-10-26 00:00:00+00:00,279.64,276.04,283.0,HD,IEXG,Monday,281.5299,272.0,19583355.0,0,2020-10-26
2020-10-27 00:00:00+00:00,277.01,276.93,277.01,HD,IEXG,Tuesday,279.57,276.105,18759687.0,0,2020-10-27
2020-10-28 00:00:00+00:00,269.72,270.18,269.72,HD,IEXG,Wednesday,273.54,268.7,21586361.0,0,2020-10-28
2020-10-29 00:00:00+00:00,269.69,269.63,269.72,HD,IEXG,Thursday,273.7,267.3119,31580025.0,0,2020-10-29
2020-10-30 00:00:00+00:00,268.82,266.71,269.63,HD,IEXG,Friday,269.62,262.03,20819013.0,0,2020-10-30
2020-11-02 00:00:00+00:00,270.15,270.74,266.71,HD,IEXG,Monday,274.82,268.52,21892407.0,0,2020-11-02
2020-11-03 00:00:00+00:00,274.85,277.37,270.74,HD,IEXG,Tuesday,279.53,273.72,21804183.0,0,2020-11-03
2020-11-04 00:00:00+00:00,276.76,282.72,277.37,HD,IEXG,Wednesday,287.04,276.01,25510437.0,0,2020-11-04
2020-11-05 00:00:00+00:00,288.35,285.85,282.72,HD,IEXG,Thursday,288.998,284.08,21642788.0,0,2020-11-05
2020-11-06 00:00:00+00:00,286.73,284.24,285.85,HD,IEXG,Friday,286.7799,282.85,32809964.0,0,2020-11-06
2020-11-09 00:00:00+00:00,287.98,269.97,284.24,HD,IEXG,Monday,289.0,269.47,78263919.0,0,2020-11-09
2020-11-10 00:00:00+00:00,272.785,275.57,269.97,HD,IEXG,Tuesday,275.79,269.25,39193246.0,0,2020-11-10
2020-11-11 00:00:00+00:00,277.32,277.75,275.57,HD,IEXG,Wednesday,281.69,276.1701,24387289.0,0,2020-11-11
2020-11-12 00:00:00+00:00,283.0,276.24,277.75,HD,IEXG,Thursday,283.6943,273.805,34585153.0,0,2020-11-12
2020-11-13 00:00:00+00:00,276.42,277.17,276.24,HD,IEXG,Friday,279.73,275.26,29720978.0,0,2020-11-13
2020-11-16 00:00:00+00:00,279.18,279.57,277.17,HD,IEXG,Monday,281.29,276.4,42218176.0,0,2020-11-16
2020-11-17 00:00:00+00:00,272.1,272.47,279.57,HD,IEXG,Tuesday,276.42,269.4001,111006927.0,0,2020-11-17
2020-11-18 00:00:00+00:00,270.5,269.83,272.47,HD,IEXG,Wednesday,275.38,269.0,46028417.0,0,2020-11-18
2020-11-19 00:00:00+00:00,270.42,270.93,269.83,HD,IEXG,Thursday,272.38,268.7,32856288.0,0,2020-11-19
2020-11-20 00:00:00+00:00,271.45,269.81,270.93,HD,IEXG,Friday,272.37,268.87,24341338.0,0,2020-11-20
2020-11-23 00:00:00+00:00,270.01,271.4,269.81,HD,IEXG,Monday,273.689,269.55,19684300.0,0,2020-11-23
2020-11-24 00:00:00+00:00,274.0,273.31,271.4,HD,IEXG,Tuesday,275.545,272.57,32818806.0,0,2020-11-24
2020-11-25 00:00:00+00:00,273.48,273.96,273.31,HD,IEXG,Wednesday,274.74,271.212,23422485.0,0,2020-11-25
2020-11-26 00:00:00+00:00,274.6241426420493,276.74607804088765,274.50042889782384,HD,IEXG,Thursday,276.9813423224401,272.4465921200837,3559867.8925268133,1,2020-11-26
2020-11-27 00:00:00+00:00,275.24,275.99,273.96,HD,IEXG,Friday,276.58,274.36,5261021.0,0,2020-11-27
2020-11-30 00:00:00+00:00,275.22,277.41,275.99,HD,IEXG,Monday,277.76,271.92,30663055.0,0,2020-11-30
2020-12-01 00:00:00+00:00,278.73,276.6,277.41,HD,IEXG,Tuesday,279.11,275.55,15598005.0,0,2020-12-01
2020-12-02 00:00:00+00:00,273.97,271.1,275.07798972854,HD,IEXG,Wednesday,275.43,269.57,33397051.0,0,2020-12-02
2020-12-03 00:00:00+00:00,270.63,268.14,271.1,HD,IEXG,Thursday,271.93,267.14,34714536.0,0,2020-12-03
2020-12-04 00:00:00+00:00,267.47,263.99,268.14,HD,IEXG,Friday,268.73,262.82,51724343.0,0,2020-12-04
2020-12-07 00:00:00+00:00,263.5,262.64,263.99,HD,IEXG,Monday,264.58,261.0,41381841.0,0,2020-12-07
2020-12-08 00:00:00+00:00,261.72,261.72,262.64,HD,IEXG,Tuesday,262.5,258.73,36026163.0,0,2020-12-08
2020-12-09 00:00:00+00:00,264.61,265.58,261.72,HD,IEXG,Wednesday,265.7708,262.25,26354590.0,0,2020-12-09
2020-12-10 00:00:00+00:00,264.08,264.81,265.58,HD,IEXG,Thursday,266.07,262.11,25947437.0,0,2020-12-10
2020-12-11 00:00:00+00:00,263.36,264.55,264.81,HD,IEXG,Friday,265.37,262.64599999999996,35144001.0,0,2020-12-11
