,Unnamed: 0,rtb,vol,sharpe,sortino,comb,correlaciones,entropia_media,entropia_std
0,14,1.4686546662221636,0.2961052488414593,0.31244480868603464,7.580345884315331,"('AXP', 'GS', 'JPM')",0.9728508903486784,0.1833696169668437,0.05603477599020666
1,25,1.3736004270714952,0.25775669962631165,0.3356991058467205,8.134359626080109,"('GS', 'JPM', 'TRV')",0.975853554056012,0.21945575049400426,0.1167412124853573
2,15,1.417861974989171,0.2666446418167219,0.33496607477612833,8.448647482604128,"('AXP', 'GS', 'TRV')",0.9473903043529786,0.2434649109375386,0.10931544956802064
3,32,1.3348932452684474,0.27768289737110136,0.30282877024362603,8.069803247093798,"('AXP', 'JPM', 'TRV')",0.9662086123698748,0.2562454512760663,0.09074767084257043
4,27,1.3144794703649765,0.23799061600139695,0.3479314637452134,7.648859644356231,"('GS', 'JPM', 'V')",0.8570312777062915,0.35141312444770545,0.3442474676933123
5,30,1.3392387207335648,0.2882757952243383,0.29265068712046904,6.892263082357693,"('BA', 'CAT', 'MMM')",0.8551489199798231,0.3743895317263928,0.16380336834847506
6,17,1.3555710394177547,0.2513664925737119,0.33971492401004605,7.991432569226258,"('AXP', 'GS', 'V')",0.9152965518716304,0.3754222848912399,0.3276020734764657
7,2,1.2767388605210113,0.26145374802988314,0.3076145935456688,7.7861518515395876,"('AXP', 'JPM', 'V')",0.9152965518716304,0.3882028252297675,0.3139250406909718
8,6,1.1673726267582478,0.17491830857805826,0.4204108985358911,9.160592272664944,"('HD', 'MCD', 'NKE')",0.6840203981751873,0.4071935965832617,0.078005733459857
9,9,1.2648185439071151,0.21533679632016184,0.3700068006409352,8.277863892918246,"('GS', 'TRV', 'V')",0.8570312777062915,0.4115084184184004,0.3114810081874283
10,11,1.1925065352337865,0.2214008040749283,0.3392980030289015,8.287755814666072,"('JPM', 'TRV', 'V')",0.8418430238993873,0.424288958756928,0.294724668517227
11,0,1.048470426243969,0.22878518503632225,0.2886875243969919,6.4687546409327235,"('AAPL', 'CSCO', 'INTC')",0.25828656395497185,0.436971721813367,0.08674623171078805
12,7,0.9995383889597628,0.21444792584929828,0.2936144046310788,6.129669314425835,"('CSCO', 'INTC', 'MSFT')",0.6464037114556733,0.4377830882436261,0.0876325733347082
13,31,1.2110111222011866,0.22028061523596806,0.34631522170086576,8.108285322005756,"('AAPL', 'CSCO', 'MSFT')",0.6981962070158257,0.4465731349301372,0.09406127988474924
14,12,1.2289249778092426,0.23874029029751986,0.3242644835431114,8.45264712891803,"('AXP', 'TRV', 'V')",0.9152965518716304,0.4482981192004624,0.2653872019714801
15,22,0.9251428380173315,0.21615109513594366,0.26961936433829875,5.2995813232270494,"('CSCO', 'IBM', 'INTC')",0.6464037114556733,0.4518023171643397,0.1047557442375482
16,10,0.9923624689560596,0.2316019388893557,0.2699155279181409,6.162877729009932,"('CRM', 'CSCO', 'INTC')",-0.3016059810343064,0.4559487222646674,0.11033617761332386
17,1,1.1278406522803015,0.19659202306892085,0.3613945360235205,8.63407327767499,"('AAPL', 'CSCO', 'IBM')",0.34485797076584895,0.4605923638508507,0.1084994626018528
18,13,1.0738447546158252,0.186582670942439,0.3625516817129874,7.842400778950812,"('CSCO', 'IBM', 'MSFT')",0.6981962070158257,0.4614037302811098,0.10894584705302444
19,20,1.2024656331061505,0.23683828722588685,0.31983095206167633,8.562036093178529,"('AAPL', 'CRM', 'CSCO')",0.25828656395497185,0.4647387689511786,0.11341559963782752
20,4,1.1451662405990524,0.2281537246606569,0.31618459241296565,8.11970851250847,"('CRM', 'CSCO', 'MSFT')",0.3660036694703952,0.4655501353814377,0.11379837294401067
21,19,1.0667551570240301,0.2034653917944584,0.33027365423876176,8.067842627241294,"('CRM', 'CSCO', 'IBM')",-0.019974700781607138,0.4795693643021513,0.12278660332207282
22,26,1.1467150235134538,0.2465765172996168,0.2929567559126603,6.485868943364456,"('AAPL', 'INTC', 'MSFT')",0.3817511513747533,0.4916791642502068,0.015973902313183425
23,33,1.0683067869085463,0.2236429664941265,0.3009126690157382,6.3621800935890125,"('AAPL', 'IBM', 'INTC')",0.34485797076584895,0.5056983931709204,0.035815071048616184
24,8,1.018052404378559,0.2108755303332885,0.3041190854059441,6.237364024511956,"('IBM', 'INTC', 'MSFT')",0.3832321639259254,0.5065097596011795,0.03563693260438964
25,24,1.13831588172628,0.26229487502261983,0.2733837646895209,6.5881247040672815,"('AAPL', 'CRM', 'INTC')",-0.0178313044226669,0.5098447982712482,0.042574646921022544
26,3,1.0850370470027584,0.25109359313399504,0.2722128765793416,6.670793534154383,"('CRM', 'INTC', 'MSFT')",0.3660036694703952,0.5106561647015072,0.0423057850650255
27,29,1.2360956955852638,0.20704299161090384,0.3760895700419459,8.72395068542677,"('AAPL', 'IBM', 'MSFT')",0.6879878246753616,0.5152998062876906,0.02501430551144129
28,18,1.3095201143415722,0.26827614912195763,0.307489180788792,7.5875444207981015,"('AAPL', 'CRM', 'MSFT')",0.6022223777087291,0.5194462113880184,0.032189480913783604
29,16,1.0110702013102069,0.2268994481870156,0.28070335330400786,6.306159370510252,"('CRM', 'IBM', 'INTC')",-0.019974700781607138,0.5246753936222209,0.04493555906416027
30,28,1.227758532978807,0.2231567841687356,0.346579281041138,9.032967234512654,"('AAPL', 'CRM', 'IBM')",0.34485797076584895,0.5334654403087319,0.029931566443697214
31,5,1.1688091651013726,0.21579564157568512,0.3411934372339609,8.990328879117909,"('CRM', 'IBM', 'MSFT')",0.3660036694703952,0.534276806738991,0.0285584063151416
32,35,0.9733438194234004,0.15671856558362127,0.3912420782174411,9.41270777808352,"('JNJ', 'MRK', 'UNH')",-0.22802664552397586,0.5920159394948434,0.27081164590095463
33,23,0.9914953732288084,0.16858659578582294,0.3704822285215035,9.4409259773559,"('AMGN', 'JNJ', 'UNH')",0.3291038311908415,0.5989942103779422,0.2822718594862486
34,34,0.9618906025020038,0.17874190534550088,0.3389994770807012,9.124432681634078,"('AMGN', 'MRK', 'UNH')",0.1638037592618244,0.7176047956878308,0.3131069286812613
35,21,0.9091516297046638,0.16043560000254636,0.3569729501030833,8.52824365257839,"('AMGN', 'JNJ', 'MRK')",0.1638037592618244,0.7761763991626861,0.2117418050785029
